date,open,high,low,close,volume
2008/9/24,12905,12990,12860,12985,12174
2008/9/25,12880,13045,12815,12990,10102
2008/9/26,12970,13105,12970,13075,9632
2008/10/6,12520,12660,12520,12520,178428
2008/10/7,12350,12995,12350,12930,310628
2008/10/8,12830,12900,12460,12565,200654
2008/10/9,12640,12700,12550,12620,68534
2008/10/10,12380,12430,12190,12245,213706
2008/10/13,12215,12765,12215,12465,132734
2008/10/14,12550,12845,12330,12365,101096
2008/10/15,12245,12345,12185,12310,100330
2008/10/16,12010,12300,12010,12085,102546
2008/10/17,12350,12480,12085,12225,85310
2008/10/20,12345,12410,12240,12365,85006
2008/10/21,12240,12250,12060,12155,36908
2008/10/22,12200,12250,12060,12175,56908
2008/10/23,12170,12350,12160,12300,80822
2008/10/24,12360,12360,12180,12245,41234
2008/10/27,12190,12215,12100,12165,28248
2008/10/28,12245,12245,12150,12240,17918
2008/10/29,12205,12250,12180,12225,13804
2008/10/30,12290,12350,12260,12265,21988
2008/10/31,12155,12200,12140,12165,13058
2008/11/3,12150,12160,11805,11845,43508
2008/11/4,11810,11850,11445,11490,51944
2008/11/5,11650,11650,11170,11315,75346
2008/11/6,11190,11195,10960,11010,68184
2008/11/7,10895,10895,10625,10625,59212
2008/11/10,10720,11355,10720,11015,109188
2008/11/11,10890,10890,10585,10585,50342
2008/11/12,10340,10480,10080,10430,112342
2008/11/13,10385,10725,10295,10645,122652
2008/11/14,10690,10900,10595,10750,103528
2008/11/17,10700,10860,10585,10710,69750
2008/11/18,10510,10750,10510,10750,28170
2008/11/19,10765,10820,10705,10795,27716
2008/11/20,10780,11215,10770,11080,113608
2008/11/21,10920,11150,10680,10965,189302
2008/11/24,11110,11270,11030,11255,97618
2008/11/25,11540,11540,11165,11190,124784
2008/11/26,11170,11295,11080,11235,86060
2008/11/27,11355,11440,11180,11240,76010
2008/11/28,11310,11310,11125,11270,63816
2008/12/1,11270,11395,11250,11375,45450
2008/12/2,11280,11450,11240,11370,69072
2008/12/3,11350,11390,11265,11340,41342
2008/12/4,11355,11375,10880,10880,137078
2008/12/5,10770,10890,10680,10840,185474
2008/12/8,10800,11200,10790,11200,96266
2008/12/9,11300,11495,11250,11315,95526
2008/12/10,11315,11350,11150,11290,99854
2008/12/11,11275,11350,11190,11260,61744
2008/12/12,11290,11320,11215,11290,40086
2008/12/15,11320,11510,11315,11475,72654
2008/12/16,11450,11500,11360,11410,47072
2008/12/17,11430,11435,11360,11385,25464
2008/12/18,11425,11500,11370,11400,36134
2008/12/19,11400,11435,11285,11430,26726
2008/12/22,11440,11820,11440,11820,63840
2008/12/23,11800,11840,11630,11690,39456
2008/12/24,11740,11740,11620,11720,16404
2008/12/25,11750,11890,11695,11820,41024
2008/12/26,11805,11840,11690,11785,29136
2008/12/29,11840,11945,11805,11810,27020
